                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length   28, position   27, alignment  0:	22.6933	4.41391	3.31064	3.34583	3.31065	4.96556
Length   28, position   27, alignment  3:	22.7058	4.45374	4.414	2.63599	3.09689	4.69365
Length   28, position   27, alignment  3:	21.2368	4.12901	3.09828	2.58092	3.13902	4.13048
Length   26, position   27, alignment  0:	17.7885	4.16591	3.09834	3.09694	3.13206	4.646
Length   26, position   27, alignment  0:	19.1801	4.12927	4.12898	3.25536	2.80284	5.51765
Length   26, position   27, alignment  3:	20.48	4.41405	4.21013	2.75899	3.31062	4.41539
Length   26, position   27, alignment  3:	20.4974	4.41403	3.34683	2.75899	3.31073	5.00844
Length   29, position   28, alignment  0:	23.0336	4.12904	4.20671	3.47224	3.4288	5.1429
Length   29, position   28, alignment  0:	24.0734	4.6091	4.57135	2.85738	3.42873	5.12067
Length   29, position   28, alignment  4:	24.088	4.57124	4.61545	2.85733	3.42874	4.73279
Length   29, position   28, alignment  4:	24.0421	4.52225	4.41397	2.75894	3.22269	4.50221
Length   27, position   28, alignment  0:	21.0424	4.41376	3.31203	3.33899	3.31055	5.67914
Length   27, position   28, alignment  0:	21.7945	4.60695	4.57147	3.42876	3.45964	5.14388
Length   27, position   28, alignment  4:	21.1306	4.41393	4.414	3.35258	3.31055	4.96672
Length   27, position   28, alignment  4:	18.9105	4.41408	4.45094	2.78983	3.42867	5.34381
Length   30, position   29, alignment  0:	21.5625	4.4563	3.31206	2.75897	2.75934	5.00214
Length   30, position   29, alignment  0:	21.0511	4.41403	3.26822	2.5808	3.13455	4.12935
